"0","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー"
"zen_LifeHack","@zen_LifeHack","ぜん @zen_LifeHack ユルくて運がいい人 | 見れば人生がラクになる情報や考え方を発信 | 世間体より自分の直感が大事→人生のハンドルは自分で握る | 自分らしく堂々と生きれば大丈夫","人付き合いが上手い人の共通点  ・近づき過ぎない ・あまり期待しない ・過度な気遣いはやめる ・相手の意見を尊重する ・嫌なことはハッキリ伝える ・プライベートに立ち入らない ・誰にでもいい顔をするのはやめる ・”親しき仲にも礼儀あり”を意識する  合わせてオススメなのが、プロフ最後のアレ。","1.9万 ","193","958","360"
"papajapon","@papajapon","まーちゃんラテン妻との日常・1年育休 @papajapon 【家族みんなでハッピーに過ごそう】メキシコ人妻とのちょっとユニークな非日常│家族がハッピーになる夫婦と育児の目玉情報を発信│ラテンの地で6年すごして陽気になっちゃった30代の会社員│35カ国いきました│英スぺ日3か国語OK│フォローすると毎日ラテンマインドが届いてハッピー＆愉快になると評判です♪フォローお願いします","幼稚園の園長を25年、４人の子育てをしたメキシコの義母から、初めてママになるメキシコ人妻に届いた【６つのアドバイス】がとっても素敵だったのでご紹介。読んだ瞬間、目からテキーラが溢れてしまったよ。どれも当たり前のことだけど、子育ての忙しさの日々で忘れてしまいそうなものばかりでした。?","7699 ","942","368","117"
"ErinTachibana","@ErinTachibana","橘花エリカ/歌詞依頼受付準備中 @ErinTachibana 主にボカロの歌詞と詩/処女詩集「タチバナフレーバー」「PCYCHO - ｻｲｺ -」2023年6月18日発売/文学フリマ岩手出店/作詞担当した楽曲「毒断情」ニコ動殿堂入りJOYSOUNDよりカラオケ配信中https://nico.ms/sm39472906","作詞家の橘花エリカですっ！！！  出来る限りたくさんの曲を聴いてまわりたいです(?°?ﾛ°?)?！！！  是非リプ欄にお願いします  #ボカコレ2023春  #ボカコレ2023春ルーキー","3757 ","416","328","16"
"kinunjosho","@kinunjosho","金運上昇Works DTMer @kinunjosho 男性P♪みそラーメンにバター♪ シラス干しには大根おろしと七味♪ 全ての世界に、善きことがなだれの如くおきます♪ Kinunjosho Kinunjousho 金運上昇Works スピリチュアルDTMer♪ 楽しい軽い波動でいることが、楽しい現実を創造します。 明るく楽しい大好き?*゜ (*^^*).+*:ﾟ+｡.☆","量子力学の観測者問題において、観測者が動物の場合、不確定な雲状な事象が崩壊して、一つの確定したものとして決定されるのか。 それとも、動物の認識が雲状な量子状態を保持できるのか。… さらに表示","2079 ","187","7","0"
"NANAO1028","@NANAO1028","菜々緒 @NANAO1028 根がふざけてる一匹狼","＼#にんむず 最終回メイキング／  最終回”山田役” #奈緒 さんオールアップ  記念撮影もしっかり テンションが上がる #鈴木伸之 さん、 しっかりカメラにおさめてました！  山田の活躍にも注目です！ 最終回と山田集は #TVer で見逃し配信中 https://tver.jp/lp/episodes/epfpdl0pz1…  #忍者に結婚は難しい","103万 ","-","-","-"
"LzMIWkhf9GpDvJX","@LzMIWkhf9GpDvJX","芹佳【占いカウンセラー】 @LzMIWkhf9GpDvJX 占いサロン『Spiritual Salus 芹佳』代表22年間某大手心理団体専任講師不倫に悩む方を救いたいと2019年独立開業コロナ禍でココナラに出品ココナラ1,140件超夫は不動産屋2男1女の母石田ゆりこ似アラフィフwHPご覧ください","今、夫より電話  外環で軽自動車が燃えちゃって  和光北から乗ろうとしたら  みんな同じこと考えてて大渋滞  毎週流山まで鍼打ちに行ってるんだけど  予約2時間遅らせてもらった  だけどなんで燃えてるんだろう…？  私も軽に乗ってるからこわい #外環事故","2370 ","575","64","0"
"earn369","@earn369","のり｜意識の魔術師 @earn369 モチベーションとやる気を捨てた結果1日坊主の僕でも継続を可能にした/めちゃくちゃ簡単な習慣/選択も決断もタイミング/未来を変える言語術/想像が現実を創造する！","おはようございます。 自分の限界は自分で作る。ヘルプを要請するのに限界ギリギリラインだと収拾がつかなくなる。無理と諦めて誰かに助けを求めるのも自分の技量。許容範囲を確認しながら大きな声でヘルプと叫ぼう。必ず助けてくれる人はいる。あなたなら大丈夫。私もその1人だから。何も問題なしだね","2975 ","926","237","19"
"nobuyukikoseko","@nobuyukikoseko","小瀬古伸幸 nobuyuki koseko @nobuyukikoseko 精神科認定看護師｜メンタルヘルスに特化した訪問看護および家族支援を実践中！｜「精神科疾患を持つ人の支援をわかりやすく発信」がモットー｜文章×音声で経験を発信｜当事者も、家族も、支援者も楽になるためのお手伝いに全力を注ぐ｜通称「横綱本」2万部突破｜自己紹介note→http://note.com/scotto","補足です。それを「持っていない人」というのは、看護師さん全般という意味ではなく、「認定看護師、専門看護師などを持っていなくて、給与が上がるわけでもない云々」と言う人や、「それを材料に給与交渉した方がいい」という人たちです。「交渉」という時点でお金が目的化という意味ですよね……","6504 ","453","12","0"
"shitanatsu","エラー","エラー","エラー","エラー","エラー","エラー","エラー"
"paddy_joy","@paddy_joy","中田:∥ @paddy_joy サラリーマン。一児の父。金融周りのメモと育児関連のつぶやきと読んだ本の感想のツイートが多めです。たまに映画関連。 質問箱： http://querie.me/user/paddy_joy 旧質問箱（質問墓） https://twitter.com/tamuramble/status/1544187499412860928…","……ごめん、私の聞き方が悪かったよ","3.1万 ","981","496","775"
"NANAO1028","@NANAO1028","菜々緒 @NANAO1028 根がふざけてる一匹狼","＼#にんむず 最終回メイキング／  最終回”山田役” #奈緒 さんオールアップ  記念撮影もしっかり テンションが上がる #鈴木伸之 さん、 しっかりカメラにおさめてました！  山田の活躍にも注目です！ 最終回と山田集は #TVer で見逃し配信中 https://tver.jp/lp/episodes/epfpdl0pz1…  #忍者に結婚は難しい","103万 ","-","-","-"
"mammam4049","@mammam4049","mam(*ov.v)幸せになろうよ @mammam4049 EoskissM夕陽に鉄塔～*＊青空に白い雲綺麗な夜景?*。季節の花などにその時々の言葉を添えて ?*¨*??#料理垢#写真垢(*´?`*)のつもり(笑)目の病気の為にTL追えませんお仕事のアカウントもよろしくね @4049noukanoyome","わが家の近くのあの川…もう人懐こい白鳥ｻﾏ方は居ない。 北帰行の前に田んぼに集結して、それから旅立つんだ。 田んぼに会いに行っても、川で触れ合った白鳥の群れはどれかも分からない。それで良い良い 無事に旅して、元気に帰って来いよ。着いた場所がみんな故郷だから  #バイバイまたね","9344 ","259","150","47"
"haruyuki031","@haruyuki031","はるゆき｜伝え方のすべて @haruyuki031 人付き合いで悩むあなたヘ、伝え方のコツをお届け。フォローしてサクッと学ぼう｜大手IT営業部長。1983年生。お笑い好き｜初著書「伝え方のすべて」KADOKAWA http://amzn.to/3s7WfMs","【クッション言葉28選】やわらかい伝え方をマスターしたい方。コレらを覚えればバッチリです。人間関係が良くなります","8.1万 ","-","544","13344"
"mitsu20190908","@mitsu20190908","ミツ@仕事×恋愛 @mitsu20190908 転職サービスを使い倒し、同時並行でマッチングアプリ婚活理想の仕事と奥さんGET人材会社トップセールス＋元omiai人気ランク1位の僕がキャリア・恋愛情報発信中質問箱で人生・恋愛・キャリア相談に最も丁寧に答える男質問箱・ブログ・noteはコチラ→ http://lit.link/mitsu20190908","ピスタチオの伊地知さんが『相手の好きな所を挙げてみて、1番は出るけど2番目以降が出てこないなら一緒にいる意味はない』って言ってて納得。 都合の良い女で甘んじる人って大体彼の『顔』が好きなだけで2番目に好きな所とか出てこないんだよな。だって彼の性格には惚れてないもんな。","6390 ","478","58","13"
"NANAO1028","@NANAO1028","菜々緒 @NANAO1028 根がふざけてる一匹狼","＼#にんむず 最終回メイキング／  最終回”山田役” #奈緒 さんオールアップ  記念撮影もしっかり テンションが上がる #鈴木伸之 さん、 しっかりカメラにおさめてました！  山田の活躍にも注目です！ 最終回と山田集は #TVer で見逃し配信中 https://tver.jp/lp/episodes/epfpdl0pz1…  #忍者に結婚は難しい","103万 ","-","-","-"
"yoshihama_t","@yoshihama_t","吉濱ツトム @yoshihama_t アスペルガーを中心とした発達障害人。 解説書に書いてある症状とやらかしは、全て経験しましたが、こんな僕でも、今日もなんとか生きています。 https://instagram.com/yoshihama_tsutomu/…","慢性的な体調不良ゆえ、キャンセルするのが怖くて友達との予定を組めず、人が離れていく発達障害人。","5.7万 ","246","936","81"
"NANAO1028","@NANAO1028","菜々緒 @NANAO1028 根がふざけてる一匹狼","＼#にんむず 最終回メイキング／  最終回”山田役” #奈緒 さんオールアップ  記念撮影もしっかり テンションが上がる #鈴木伸之 さん、 しっかりカメラにおさめてました！  山田の活躍にも注目です！ 最終回と山田集は #TVer で見逃し配信中 https://tver.jp/lp/episodes/epfpdl0pz1…  #忍者に結婚は難しい","103万 ","-","-","-"
"shourin_ji","@shourin_ji","勝林寺 @shourin_ji 京都東福寺の塔頭寺院です。毎日、座禅・写経・写仏体験を行っております。 御本尊の秘仏毘沙門天は年に二回お正月と秋に特別公開されます。花手水や四季限定御朱印も授与しております。Instagram:http://instagram.com/kyoto_shourinji/…","明日3月20日手書き御朱印は、14:00に開始致します。整理券は12:30頃に授与所にて配布し30名様と致します。16:00に完全終了致します。宜しくお願い致します。  #京都   #勝林寺   #東福寺塔頭   #御朱印　 #手書き御朱印 #勝林寺   #東福寺塔頭   #京都御朱印","1.5万 ","270","2","0"
"NANAO1028","@NANAO1028","菜々緒 @NANAO1028 根がふざけてる一匹狼","＼#にんむず 最終回メイキング／  最終回”山田役” #奈緒 さんオールアップ  記念撮影もしっかり テンションが上がる #鈴木伸之 さん、 しっかりカメラにおさめてました！  山田の活躍にも注目です！ 最終回と山田集は #TVer で見逃し配信中 https://tver.jp/lp/episodes/epfpdl0pz1…  #忍者に結婚は難しい","103万 ","-","-","-"
"tamon_farm","@tamon_farm","多聞＊tamon @tamon_farm ネギとイタリア野菜の農家たもんfarm代表農作業の合間に空や海の写真を撮ってますホワイトセージの栽培、販売してます白山比咩神社が大好きで月一参拝してます桜と西行さんが好きです","平泉寺白山神社の泉 時間があれば行きたい","8956 ","440","90","4"
"rairai_happy_","@rairai_happy_","らい@84日目「100日後必ず痩せるらい」 @rairai_happy_ あなたの重荷が少しでも下ろせます様に 発達障害、精神疾患だけれども日々がんばって生きています。 気軽にらいちゃんと呼んでね いつも皆さまに助けられて生きています。 らいのお悩み相談コーナー→ http://marshmallow-qa.com/rairai_happy_ 欲しい物リスト↓","どーん！ 日に2回吉野家に来れるなんてぼくぁ幸せだぁー！ モバイルTカードで100ポイント還元は1日１回までなので楽天のポイント5倍キャンペーン（共に要エントリー）と上手く使い分けるのがいいね！ 生娘シャブ漬け丼はクーポン利用で200えん引き！うまし！","9090 ","161","16","1"
"Spiritual_reo","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー"
"UTW12Kmckb2hWLU","@UTW12Kmckb2hWLU","茨城神社旅 @UTW12Kmckb2hWLU 趣味で神社巡りをしていた男が、「いっその事地元茨城の神社全部行っちゃえ！」という事から始まりました。 今後は、茨城の神社を中心に参拝のついでに楽しめるグルメやその他の名所などもツイートして行きます。 また、YouTubeでも動画をアップしており、数分間の遠隔参拝をお楽しみできます。","思いがけず日立市の『御岩神社』に立ち寄る事になり、雪化粧に染まった境内を撮影することができました！ こんなに積もっているので御岩山には入山できませんでした。  貴重な写真を撮ることができたので私は大満足です。","513 ","921","149","8"
"kaychan2525","@kaychan2525","Masuda Kayo.子どもとママにたくさんの笑顔の花を咲かせるペアトレトレーナー @kaychan2525 周りを笑顔に人の繋がりを大切にしたい/元保育士.元療育施設主任管理/発達相談/ペアトレ教室3クラスのトレーナー/心理カウンセラー/保育士研修.講座の講師/保育士の先生の力になりたい保育力アップアドバイザー/保護者向け講座/保育園保護者相談窓口担当 ブログ→http://ameblo.jp/kayokharu","かよさん@kaychan2525 と一緒に新たな取り組み  より多くの幸せなチームが増えてほしい  同じ立場のリーダー同士集い学び合い悩みや情報を共有しともに育ちあうコミュニティを作りたい  そんな想いから主任設置者向けコミュニティをかよさんと立ち上げることにしました  #井戸端チームビルディング","4269 ","255","48","0"
"shin99419","@shin99419","さっきー兼業ﾄﾚｰﾀﾞｰ @shin99419 転職8回からの投資家デビュー！仮想通貨で資産を火葬→猛勉強から社会投資家を目指す！コミュで200人以上に講師陣として高齢の方にもFX指導の実績あり！お金・マインド呟きます！Twitterは半年かからず万垢達成人生はネタ作りチャレンジし続けます！伸び代のみ！長崎生まれ福山在住ｻﾌﾞ @shin66419","今の年齢…残りの人生で一番若い体は もう戻ってこないわけです… だから一笑懸命です  あなたの日常は… 何かに合わせて無理していませんか？  これが良い！の為に全力で 日々色々試すから いつもその時の最善と言い切れますか？  あ、おはよー  #おは戦50317mk #おは戦50318md","1.8万 ","079","121","17"
"zibumitunari","@zibumitunari","石田三成@ZIBU @zibumitunari 石田三成。420年前は五奉行職。山崎、小牧長久手、忍城攻め、関ヶ原に出陣。現在はツイッタ―で活動。 好物は近江鮎の塩焼きと茶と柿。 色々あって柿はいらなくなった治部少輔です。話が合う者は気軽にフォローをしてくれると有難い。何かあれば直目安(DM)へ。※ぱろでぃです。","翌週のタイトル、「氏真」なのがいい。 ずっと戦ってきた宿敵との決着回。  いずれ「三成」もくるはずだから皆も心得ておこう。   #どうする家康","21.4万 ","030","221","62"
"kyoro_e_pl6","@kyoro_e_pl6","きょろ @kyoro_e_pl6 OLYMPUS PEN Lite E-PL6 + M.ZUIKO DIGITAL 主に身近な自然風景を撮っています。見に来てくださり、ありがとうございます♪写真の無断転載はご遠慮ください。","きになって 食べてきました (??????)” 爽やか で 甘さ控えめで 美味しかった  #とちぎ花センター  #キリトリセカイ #スマホ写真  #写真の奏でる私の世界","7510 ","68","5","1"
"ohiruneol_","@ohiruneol_","おひるね劇強女の恋愛 @ohiruneol_ 強くなって爆モテろ／元野獣級メンヘラ→劇強女／爆モテ美容×爆モテマインドで劇女化させてあげる／恋愛相談はインスタ","【新作公開】  彼氏から死ぬほど愛される ""舐め×手ワザの完全特化夜テク""を 公開します。  毒のように彼に溺愛されてしまう 夜テクを掴みちぎれ。","4.2万 ","069","5","1"
"ruri_yokuko","@ruri_yokuko","るり子　支配的恋愛術 @ruri_yokuko 恋愛3000件以上対応！！/沼らせる方法note見て！/恋愛・人生相談裏垢DMへ【 @ruri_yokukoura 】","小3よ姪っ子とふざけ合ってて私が過去に酔っ払った時ゲームを買ってあげると言ってたらしく覚えてなかったから「それ言ったのいつ？何時何分何秒？何回地球が回った時？」って言ったら「なにそれ？分かるわけないじゃん」って返されました。すごく寂しい気持ちになりました。","2万 ","100","8","0"
"kugatsu_main","@kugatsu_main","九月 @kugatsu_main ピン芸人。主にコント、折に触れて文章、ごく稀に脚本。青森県出身。京都大学卒業。東京都在住。ツイートはコントを作っているときに思い出したこと。2023年中にエッセイが出ます。お仕事なんでも募集。九月の読むラジオ @kugatsu_readio  ひとりごと @kugatsu_mnlg","最大の問題点は、別にアイドル的人気があるわけではないこと。早くアイドル的人気でも何でもいいから出てくれ。出まくってくれ。四方八方から推して下さい。","2.9万 ","626","49","4"
"NANAO1028","@NANAO1028","菜々緒 @NANAO1028 根がふざけてる一匹狼","＼#にんむず 最終回メイキング／  最終回”山田役” #奈緒 さんオールアップ  記念撮影もしっかり テンションが上がる #鈴木伸之 さん、 しっかりカメラにおさめてました！  山田の活躍にも注目です！ 最終回と山田集は #TVer で見逃し配信中 https://tver.jp/lp/episodes/epfpdl0pz1…  #忍者に結婚は難しい","103万 ","-","-","-"
"Kasumi_lp","@Kasumi_lp","Kasumi @Kasumi_lp Z世代／年齢なんて関係ない／やる人だけお友達になろう！／やった人にしか見れない景色あるよ／過去を最良のものに／https://twitch.tv/ksm_gamingg【ほぼ毎日配信中】","昨日も　  生配信にご参加いただき ありがとうございました！  久しぶりの配信でしたが沢山 集まってくれて嬉しかったです。  いつも沢山の幸せが訪れ ますように。  例のあの件は又こちらにアップ しますね  夜も良いお時間をお過ごし ください","8461 ","741","371","27"
"NANAO1028","@NANAO1028","菜々緒 @NANAO1028 根がふざけてる一匹狼","＼#にんむず 最終回メイキング／  最終回”山田役” #奈緒 さんオールアップ  記念撮影もしっかり テンションが上がる #鈴木伸之 さん、 しっかりカメラにおさめてました！  山田の活躍にも注目です！ 最終回と山田集は #TVer で見逃し配信中 https://tver.jp/lp/episodes/epfpdl0pz1…  #忍者に結婚は難しい","103万 ","-","-","-"
"kamisinmeitenso","@kamisinmeitenso","蛇窪神社 @kamisinmeitenso 東京の白蛇さまと親しまれる、蛇窪大明神の公式Twitterです。日々の神社の日常を嫁がつぶやきます。また、年間行事や御朱印についてもお知らせします。#白蛇神社 #蛇窪神社 #祈祷 #財運隆昌 #立身出世 #除災招福 #病気平癒 #白蛇祈願 #御朱印 #白蛇 #白蛇お守り #蛇供養 #銭洗い #財運","蛇窪大明神4月限定御朱印(ピンク)を 4/1～4/30の1ヶ月間、おわかちいたします。4月は白蛇辨財天社例祭を斎行。それを奉祝して「白蛇辨財天例祭御朱印」も同じ期間にておわかちいたします。是非この機会にご参拝いただき、清々しく神様のご神徳を授かりますようお祈り申し上げます 初穂料各300円","2.1万 ","743","530","65"
"hisako_aoibara","@hisako_aoibara","ひさ子_610日 @hisako_aoibara ?ガーデニング・バラ・猫・珈琲・お茶?  忘れな草 シャルル・ド・ゴール GC8 ノルウェイの森 春の雪 ベンガルroi2021年1月2日生まれ  Je m'aime ne pas d?corer. Merci pour chaque fois.","私を忘れないで","1753 ","148","36","0"
"sunsunrainbow","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー"
"ken_life_change","@ken_life_change","???@敗者の恋愛戦術 @ken_life_change |26歳|元非モテ|元イジメられっ子|身長170未満|フツメン|そんな俺が社会人から恋愛修行し、彼女と遅れた青春満喫|彼女4人同時並行|経験人数55人|4大アプリ＆ストリートナンパ経験|自己投資200万以上|ゼロイチの難しさを誰よりも知る男が敗者の恋愛戦術発信|女の子に愛されたい人フォロー奨励","僕は先陣切って体張ることでコンサル生に真似や行動をして欲しくてやってる  決してマウントを取る目的ではない ま、でもチ◯コぐらいしゃぶってほしいけどな！","3985 ","690","4","0"
"wakaran0196","@wakaran0196","タンカル@神社日記 @wakaran0196 週末神社巡りをして御朱印を頂いています。 茨城や栃木、千葉の神社を巡っています。 神社巡り以外の旅の思い出も日記としてツイートします(≧▽≦)。無言フォロー失礼します。「目指せ、神社500社！(御朱印一体に付き一社)」が2023年の目標です。(2022年迄:338社参拝、一度参拝した神社は含めず)","227社目は茨城県水戸市鎮座 「水戸愛宕神社」22.07.30参拝 前方後円墳の頂上に鎮座する神社！前方の方は木々が生い茂る森で涼しい季節に散策するのに持ってこいの場所でした(?≧?▽?≦?)！一方、後円の方は厳かな雰囲気の神社で拝殿に近くに連れキリッとした雰囲気が楽しめます(? ???????)","2514 ","817","207","10"
"shikamarurobo","@shikamarurobo","たくま（福田 卓馬）l『文章でお金持ちになる教科書』著者 (KADOKAWA) @shikamarurobo EXTAGE? 代表｜3社経営｜ブラック会社員→ブログ月300万円達成して起業→マーケを学んで1億超え｜YouTube1.4万人｜法人1期目年商1.5億｜上場企業SEO/マーケティング担当｜Instagram：http://bit.ly/40oFVa9｜書籍：http://amzn.to/3V56MoJ 夢は逃げない。スキルを学べば必ず実現する。","副業ブロガーはかなり有利。  例えば、本業で学んだ専門知識や経験が書ける。お金には困ってないので無理なセールスをして信頼を失わなくていい。考え方を変えると、作業時間を失っている変わりに「知識」「安定」と大きなアドバンテージがある。だからドンと構えて確実に記事を積み上げていこう。","3.5万 ","764","186","15"
"ittyuntyun","@ittyuntyun","こりん@ @ittyuntyun フルタイムワーママです。子供3人株主優待の到着を楽しんでるだけの呟きになりがちです。ＩＰＯ、株主優待、高配当、iDeCo、つみたてNISA、ジュニアNISA、ふるさと納税、ポイ活お得と美味しい物、懸賞が大好きです。","ステーキガスト キッズメニューを頼んだら、倍盛りチャレンジでゼリーを沢山頂けました 息子、なんで？とキョトン顔しながらめっちゃ喜んでました PayPayグルメからの予約&優待カード支払いで手出し31円でした #株主優待","1028 ","386","33","0"
"NANAO1028","@NANAO1028","菜々緒 @NANAO1028 根がふざけてる一匹狼","＼#にんむず 最終回メイキング／  最終回”山田役” #奈緒 さんオールアップ  記念撮影もしっかり テンションが上がる #鈴木伸之 さん、 しっかりカメラにおさめてました！  山田の活躍にも注目です！ 最終回と山田集は #TVer で見逃し配信中 https://tver.jp/lp/episodes/epfpdl0pz1…  #忍者に結婚は難しい","103万 ","-","-","-"
"Planet_Love369","@Planet_Love369","アルクトゥルス9次元評議会 @Planet_Love369 惑星地球アセンションの支援に来ています。 理解を超えた方はパロディと思って下さい。","いてますか？ 山瞑想から帰ろうとしていると ピカピカされたので撮影  #ufo","1.1万 ","671","240","43"
"nittan_nittan","@nittan_nittan","にったん＠引き寄せ術師 @nittan_nittan ”引き寄せの法則”という「ちょっとズルい人生の裏ワザ」発信してます|引き寄せガチ実践で得た知見をツイート|恋愛コンプから引き寄せに出会う約1年で願望ノート通りの恋人引き寄せ結婚2児のパパ&妻とはラブラブ|フォロワー報告2ヶ月で復縁達成、臨時収入、売上UPなど|引き寄せで人生イージーモードにしましょう","厳しいこと言いますが引き寄せやってて何の変化もないなら、それはシンプルに何かが間違ってます。  ・自分にあったやり方じゃない ・何の考えもなしに実践してる ・引き寄せに叶えてもらおうとしてる  など、間違った方向性でやると時間を浪費するだけです。まず自分を見直すとこから。","”引き寄せの法則”という「ちょっとズルい人生の裏ワザ」発信してます|引き寄せガチ実践で得た知見をツイート|恋愛コンプから引き寄せに出会う約1年で願望ノート通りの恋人引き寄せ結婚2児のパパ&妻とはラブラブ|報告2ヶ月で復縁達成、臨時収入、売上UPなど|引き寄せで人生イージーモードにしましょう","341","165","6"
"ichihuyu911","@ichihuyu911","イチフユ@シンプルに生きる人 @ichihuyu911 いつも穏やかに機嫌良く/怪我や病気、メンタルダウンから学んだこと/人生に起こる全ては明日への糧/更年期11年目の気づきを発信/??#自分の血圧を知ること。朝晩測って手帳につける。医師に相談し、薬を飲むのもあり。降圧剤は飲むのが怖いのではなく飲まないことが怖いのです。フォロー励みになります。","キッチンの上棚奥の方から、7年前のお味噌が発掘されて震えてます。ドキドキ、ワクワク…。","1.2万 ","094","77","7"
"asuka_blair","@asuka_blair","白石明日香/ASUKA Vlog @asuka_blair 銀座のクラブBlair/Blair deux/ダリア銀座スキンクリニック/美容室ブランシュ/ 中央競馬馬主/家ではマンチカンのみるくとももに毎日もふもふされています","1年ぶり2本目の有料記事「身につけると出会う人が変わる、知性と品を感じる話し言葉」 同じ言葉を使ってしまう。敬語が使えない。人生少し良くしたい。仕事でなぜかうまくいなかい。夜の仕事の人でもそうでない人でも、悩んでる人に読んで欲しいコツ10選書きました #note","2.9万 ","590","30","4"
"getaoto","@getaoto","神社ソムリエ / 佐々木優太 @getaoto 神社を巡っていますミュージシャンです。白シャツ.ジーンズ.下駄.メガネ #神社巡拝家 / #神社ソムリエ","3/21  静岡県浜松市に鎮座する 大歳神社( @ootoshi1douraku )にて 神社トーク＆歌のライブを させて頂く機会を頂戴致しました  多くの人に御会い出来ますように  一粒万倍日、天赦日が重なる 春季皇霊祭の日です  ぜひぜひぜひ  #神社巡拝家 #春分の日","1万 ","894","258","17"
"NANAO1028","@NANAO1028","菜々緒 @NANAO1028 根がふざけてる一匹狼","＼#にんむず 最終回メイキング／  最終回”山田役” #奈緒 さんオールアップ  記念撮影もしっかり テンションが上がる #鈴木伸之 さん、 しっかりカメラにおさめてました！  山田の活躍にも注目です！ 最終回と山田集は #TVer で見逃し配信中 https://tver.jp/lp/episodes/epfpdl0pz1…  #忍者に結婚は難しい","103万 ","-","-","-"
"AkimitsuKuroda","@AkimitsuKuroda","黒田晃充 @AkimitsuKuroda 【Twitterを運用し始めて自分自身が変わりました】元趣味アカ、SNSの知識ゼロでも根性と自力で伸ばして135日で万垢達成│大学中退→元引きこもり→転職6回│WinWinプロジェクト特別顧問│ブログもやってます│自由に楽しく│色んな人のリプ欄にいる行動力│Twitterを一緒に伸ばたい人はフォローしてお願いします！","TwitterのSMS認証が明日から有料になるからと、無料ユーザーは対応に追われてる今夜。とはいえ、人は生きてきた経験値、努力、感情、感謝、想い、愛、全て基準値が違う。人を変えようとしても、意味ないどころか恨みを買うだけ。人と比べなくてもBlueでなくてもいい。自分なりにTwitterを楽しもう。","1.8万 ","780","81","25"
"NANAO1028","@NANAO1028","菜々緒 @NANAO1028 根がふざけてる一匹狼","＼#にんむず 最終回メイキング／  最終回”山田役” #奈緒 さんオールアップ  記念撮影もしっかり テンションが上がる #鈴木伸之 さん、 しっかりカメラにおさめてました！  山田の活躍にも注目です！ 最終回と山田集は #TVer で見逃し配信中 https://tver.jp/lp/episodes/epfpdl0pz1…  #忍者に結婚は難しい","103万 ","-","-","-"
"kurume_suzu","@kurume_suzu","来瞳 翠珠（くるめ すず）　@大阪ほしよみ堂所属占い師 @kurume_suzu ネコ大好き！きらめく未来を見つめるキャッツアイ来瞳 翠珠（くるめ すず）恋のお悩みおまかせマダムです大阪駅前第3ビル２階、可愛いネコのタロットで占います。タロット/紫微斗数/カバラ数秘術/オラクルカード/スピリチュアル 貴方に寄り添い明るい未来を導きます 毎週日曜日、火曜日 大阪ほしよみ堂出演","毎週日曜日・火曜日の11:00～20:00は 大阪ほしよみ堂にて出演  JR大阪駅・JR北新地駅・地下鉄東梅田駅 阪急・阪神の大阪梅田駅からアクセス 抜群の大阪駅前第３ビル２Ｆ  お買い物や待合せの合間に。 ぜひお立ち寄りください。","2961 ","109","4","0"
"EcbX5UHTDfUHWpi","@EcbX5UHTDfUHWpi","さつき一人自分大好き @EcbX5UHTDfUHWpi 神様大好き神社、雲、お花、生き物全般大好きですTwitter皆様に失礼がありましたら、ごめんなさい無言フォローさせて頂いてますマイペース、コツコツなのと天然&慌て者です。どうぞ宜しくお願い致しますリツイート下さってる皆様有り難うございます感謝人は人により助けられて生きる","窓の外を見ている様子を撮影したら 神様みたいになってしまった猫さん…","937 ","909","937","268"
"tora_s8","@tora_s8","とら|潜在意識×超開運 @tora_s8 【潜在意識×開運＝最幸の人生】#呪いの正体 親からの過度の干渉?こうやりなさい?こうする方が良い?投資は怪しい貯金最強?結婚しないなんて恥ずかしいetsこれらは全て過去の自分の薄い経験や概念の強要。特に『 あなたの行動にいちいち意見してくる 』 場合は末期の呪い。#対策 は親であっても距離を置き『自分の信念』を持つ","「なんか、結婚して人生大きく変わったよね。住んだことのない土地に住んで・・」と妻。人生変わったと言えば、妻との出会いも、大学時代のアルバイトが発端だし。現職は中学受験してなかったら入社してなかったよね。今の結果は結局遥か前の選択の結果なんだな・・・とふと、思い出した映画は・・","6503 ","840","64","24"
"Japanese_hare","@Japanese_hare","わび @Japanese_hare 生存自活系の野うさぎです。今までの人生で得た「生き残るため」の教訓などを呟いてます。【著書】「この世を生き抜く最強の技術」 /  お仕事のご相談はこちら  jhare.business@gmail.com","今でこそ十分な年収を貰い、ホワイトな環境で働いていますが、7年ほど前は薬がないと眠れない病院通いの自衛官でした。惨めな姿で地元へ敗走、妻や授かったばかりの双子には情けない父親で、申し訳なさすぎて、正直、生きるのが辛かったです。でも、今となってはただの昔話。人は変われるんです。","15.7万 ","614","295","158"
"MitsuiMasashi","@MitsuiMasashi","三井昌志＠インド一周中 @MitsuiMasashi 写真家。アジアの辺境をバイクで旅しながら「笑顔」と「働く人」をテーマに撮影を続けている。2022年末から9度目のインド一周バイク旅を敢行。日経ナショナルジオグラフィック写真賞2018グランプリ受賞。公式サイト「たびそら」","インドの街中で見かけたヤクザ・ナンバーのスクーター。どういうこと？","2.1万 ","574","13","2"
